,input,target,clipped_input,predicted_ed,predicted_at
0,"In most cases , people complain about the time .",", people complain about time .","In most cases , people complain about the time","In most cases , people complain about the time","In most cases , people complain about the time"
1,Technologies had also been designed to help the elderly maintain their own independence .,Technologies have also been designed to help the elderly maintain their own independence .,Technologies had also been designed to help the elderly maintain their own independence,My had also been designed to help the elderly maintain their their .,Generally had also been designed to help the elderly maintain their own .
2,Nuclear power has always been a very controversial topic over the past a few decades .,Nuclear power has always been a very controversial topic over the past few decades .,Nuclear power has always been a very controversial topic over the past a few decades,Nuclear power has always been a very controversial topic over the past the few,Nuclear power has always been a very controversial topic over the past a a decades
3,"While current research and policies have helped to ease the aging process , there are limitations to these policies that make these policies not as effective as a result .","While current research and policies have helped to ease the aging process , there are limitations to these policies that make these policies not as effective .","While current research and policies have helped to ease the aging process , there are limitations to these policies that make these policies not as effective as a result","While current research and policies have helped to ease the the process , , are of to these of of of these of of as effective as as .","While current research and policies have helped to ease the aging process , , are of to these policies that that these policies policies as effective as as result"
4,"In cases where the elder do not have any children or saving left , money is also needed to cater for their daily expenses , housing and medical expenses .","In cases where the elderly do not have any children or do not have any savings left , money is also needed to cater for their daily expenses , housing and medical expenses .","In cases where the elder do not have any children or saving left , money is also needed to cater for their daily expenses , housing and medical expenses","In cases where the elder do not have any children or save left , money is also needed to the for for our expenses , income and and their","In cases where the elderly do not have any children or save left , money is also needed to the for their their expenses expenses expenses . . expenses expenses expenses"
5,He knows many countries around the world .,He knows of many countries around the world .,He knows many countries around the world,He knows many countries around the world world,He knows many countries around the world world
6,"A question has been set up in Straits Times lately "" Who cares for these when they grow old ? "" .","A question has been brought up in Straits Times lately "" Who cares for these when they grow old ? "" .","A question has been set up in Straits Times lately "" Who cares for these when they grow old ? ""","A question has been set up in the , lately , Who cares for these when they grow old ?",A question has been set up in the Times lately Recent Who cares for these when they grow . ? ?
7,""" From August 2008 to July this year , 172 people filed applications , much higher than the average of 100 in previous years "" .",""" From August 2008 to July this year , 172 people filed applications , much higher than the average of 100 in previous years "" . ( citation )",""" From August 2008 to July this year , 172 people filed applications , much higher than the average of 100 in previous years ""","From August festival to July this year , , , field applications , , higher than than average average of average .","The From August of to July this year , , people field applications , much higher than than average of of of previous previous"
8,"From the example of Hiroshima , we can see how fast a city able to rebuild after the nuclear warfare .","From the example of Hiroshima , we can see how fast a city is able to rebuild itself after a nuclear warfare .","From the example of Hiroshima , we can see how fast a city able to rebuild after the nuclear warfare","From the example of Hiroshima , we can see how fast a city able to to after the the nuclear","From the example of Hiroshima , we can see how fast a city to to to after the the the"
9,"For exemple , you were working like broadcaster but in the office and city where you are working . ","For example , you were working like a broadcaster but in the office and city where you are working . ","For exemple , you were working like broadcaster but in the office and city where you are working","For example , you were working like , but in the office and city where the are working","For example , you were working like , but in the office and city where you are working"
10,Many of the researches of engineering design which were carried out in the modern countries had been done successfully .,Much of the research engineering design carried out in modern countries been done successfully .,Many of the researches of engineering design which were carried out in the modern countries had been done successfully,Many of the research of engineering design which were carried out in the modern countries . done .,Many of the research of engineering design which were carried out in the modern countries . been done
11,"Different from Light Water Reactors used around world today , the Super Critical Water Reactor can be more likely to slow down and catch 'fast neutrons ' , which means it would burn less nuclear fuels in a more thorough way .","Different from Light Water Reactors used around the world today , the Super Critical Water Reactor is more likely to slow down and catch 'fast neutrons ' , which means it would burn less nuclear fuels in a more thorough way .","Different from Light Water Reactors used around world today , the Super Critical Water Reactor can be more likely to slow down and catch 'fast neutrons ' , which means it would","Different from Super Water Rock used around world today , the Super Super Water Nuclear the be more likely to slow to and and catch catch ' , , means it","Another from Light Water Water used around the the , the Super World The radiation , be more likely to to down and and and and and , which means means"
12,Anonymity allows subjects to have the final decision to reveal the test results to their family or even third parties ; greater assurance so privacy and confidentiality are not violated .,"Anonymity allows subjects to have the final decision to reveal the test results to their family or even third parties parties , so privacy and confidentiality are not violated .",Anonymity allows subjects to have the final decision to reveal the test results to their family or even third parties ; greater assurance so privacy and confidentiality are not violated,"allows subjects to have the final decision to reveal the test results to their family or even , parties , , health so , and and are are religions .","The allows subjects to have the final decision to receiving the test results to their family or or or parties Korea of , , , , and and , and but"
13,"However , the problem is basically that people only make changes according to the traditional system , while in most cases a better system has to be built with the old one totally destroyed .","However , the problem is basically that people only make changes to the traditional system , while in most cases a better system has to be built with the old one totally destroyed .","However , the problem is basically that people only make changes according to the traditional system , while in most cases a better system has to be built with the old one","However , the problem is basically that people only make changes according to the traditional system , while in most cases a better system has to be built with","However , the problem is basically that people only make changes according to the the system , while in most cases a than system has to be built with the ."
14,"Seeing this problem , the government decided to upgrade the lift systems , so we can see most HDB apartment lift is accessible on every floor now .","Seeing this problem , the government decided to upgrade the lift systems , so most HDB apartment lifts are accessible on every floor now .","Seeing this problem , the government decided to upgrade the lift systems , so we can see most HDB apartment lift is accessible on every floor now","Seeing this problem , the government decided to improve the lift the , , we can see the your apartment lift . . on","Seeing this problem , the government decided to get the lift system , , so so we we the a and , and , the the the the the"
15,"Their industries , starting from the modern gaming industries such as koei and konami to the more luxurious and "" heavy "" industries of sport cars such as Mitsubishi are well-known have a wide range of customers around the world .","Their industries , starting from the modern gaming industries such as koei and konami to the more luxurious and "" heavy "" industries of sport cars such as Mitsubishi , are well-known to have a wide range of customers around the world .","Their industries , starting from the modern gaming industries such as koei and konami to the more luxurious and "" heavy "" industries of sport cars such as Mitsubishi are well-known have","Their organization , started from the modern pink , such as as and , to the more a and and heavy heavy , in sport","Their industries , starting from the modern Games industries such as the and construction and the more a and and heavy exciting industries"
16,"For example , the Government has increased the retirement age to 63 years old .","For example , the government has increased the retirement age to 63 years old","For example , the Government has increased the retirement age to 63 years old","For example , the the has has the the age age the age old old","For example , the government has increased the retirement retirement retirement retirement in . ."
17,"First of all , the current car 's technology , the fuel injection has satisfied humans ' need to travel .","First of all , the current car 's technology , the fuel injection , has satisfied humans ' need to travel .","First of all , the current car 's technology , the fuel injection has satisfied humans ' need to travel","First of all , the current car 's technology , the fuel injection has satisfied humans ' . to to","First of all , the current car 's technology , the fuel the has satisfied humans . . to to"
18,"Critics might think that as someone is aging , the person is can no longer provide for the society anymore .","Critics might think that as someone is aging , that person can no longer provide for the society anymore .","Critics might think that as someone is aging , the person is can no longer provide for the society anymore","might think that as someone is is , the person is can no longer provide for for society .","might think that as someone is aging , the person is can no longer provide for the society"
19,"As for Japan , at least 1 out of 4 people will age 65 and above by 2055 .","As for Japan , at least 1 out of 4 people will be 65 and above by 2055 .","As for Japan , at least 1 out of 4 people will age 65 and above by 2055","As for Japan , at least least at of the the will age .","As for Japan , at least the the of of people will age age"
20,"There are some samples of genetic tests which are newborn screening , diagnostic testing , carrier testing , prenatal testing and others .","some examples of genetic tests are newborn screening , diagnostic testing , carrier testing , prenatal testing and others .","There are some samples of genetic tests which are newborn screening , diagnostic testing , carrier testing , prenatal testing and others","There are some samples of exposure tests which are a the , , test , , TOEFL , a a and and the .","There are some samples of of tests which are a systems , versions testing , carrier testing , a testing and and others"
21,""" Is this statement a false preposition or a reality that has yet come true ?",""" Is this statement a false prophesy or a reality that has yet to come true ?",""" Is this statement a false preposition or a reality that has yet come true ?",Is this statement a false prepositions or a reality that has yet come true,The Is this statement a false prepositions or a reality that true
22,"Moreover , their passions are same as others .","Moreover , their passions are the same as others .","Moreover , their passions are same as others","Moreover , their passion are the as others .","Moreover , their their are same same others others"
23,"However , this may not be true as with judicious planning on their spending , it is not impossible for them to save more while they are still active in the work force and be financial independence in old age .","However , this may not be true as with judicious planning of their spending , it is not impossible for them to save more while they are still active in the work force and be financially independent in old age .","However , this may not be true as with judicious planning on their spending , it is not impossible for them to save more while they are still active in the work","However , this may not be true as with with planning on their spending , it is not impossible for them to save more while they are still active in in","However , this may not be true as with with planning on their spending , it is not impossible for them to save more while they are are are in in"
