epoch,accuracy,loss,val_accuracy,val_loss
0,0.651547551,2.426606417,0.710077643,1.936750293
1,0.722738564,1.790136576,0.731306612,1.707526088
2,0.736419857,1.620010853,0.738241911,1.608205557
3,0.743190348,1.526301622,0.743305147,1.55296576
4,0.747537613,1.463532209,0.744893491,1.517776966
5,0.750802636,1.417186856,0.74497962,1.49451685
6,0.753331721,1.380492806,0.745196104,1.475235939
7,0.755361199,1.350743532,0.747197211,1.465162277
8,0.756985962,1.326218486,0.74429369,1.455965757
9,0.758518934,1.305535436,0.745138645,1.447487235
