epoch,accuracy,loss,val_accuracy,val_loss
0,0.618576229,2.71639514,0.683271468,2.140280962
1,0.705938458,1.959181428,0.720205665,1.845599651
2,0.727571547,1.741799355,0.732581675,1.7057513
3,0.737434685,1.621351361,0.737833798,1.631003261
4,0.743302584,1.548506618,0.739634216,1.59187901
5,0.747370839,1.497438788,0.742010415,1.560651898
6,0.750577509,1.458652735,0.744235873,1.540232539
7,0.753185809,1.427214026,0.743865907,1.527432799
8,0.755532026,1.400933981,0.744181573,1.517697811
9,0.757517219,1.378687978,0.74645108,1.510143876
