epoch,accuracy,loss,val_accuracy,val_loss
0,0.319408029,6.591235638,0.349827349,5.380403042
1,0.35416618,5.101039886,0.371471971,5.015032291
2,0.388203233,4.811240196,0.407739758,4.824203968
3,0.421020329,4.599620342,0.432430238,4.668364048
4,0.448296607,4.39948225,0.453303993,4.520153999
5,0.469642192,4.22490263,0.473519504,4.409165382
6,0.494423777,4.077963829,0.490948945,4.320370674
7,0.51142025,3.947556257,0.501172185,4.247915745
8,0.523007989,3.829205513,0.508952916,4.184439182
9,0.532890022,3.719732761,0.514914751,4.132879257
10,0.542571366,3.618022203,0.519057751,4.093883038
11,0.552026093,3.520726681,0.524240136,4.057019711
12,0.562487721,3.427078724,0.526847184,4.037748814
13,0.571786523,3.338478327,0.530412734,4.012795448
14,0.579980135,3.254799843,0.53454417,3.987012625
15,0.588196874,3.174434185,0.540003717,3.956725836
16,0.595999956,3.097229719,0.541657984,3.942175627
17,0.603600264,3.024133921,0.544097602,3.932782888
18,0.610520542,2.954410076,0.545665324,3.916128635
19,0.617082119,2.888099909,0.550013304,3.901690245
20,0.623453081,2.824348211,0.548255026,3.897130013
21,0.629310131,2.763723135,0.553440273,3.88573885
22,0.634932578,2.705047846,0.559875607,3.860267162
23,0.640268385,2.649810553,0.556852818,3.866410255
24,0.645674288,2.596305609,0.563496053,3.850953341
25,0.650259435,2.545983791,0.558019221,3.857780695
26,0.655158579,2.496759892,0.564890504,3.838940144
27,0.659742296,2.449700832,0.561838865,3.842607737
28,0.664182305,2.404480219,0.560761988,3.847764254
29,0.668130815,2.361768961,0.562479794,3.841413975
