epoch,accuracy,loss,val_accuracy,val_loss
0,0.550562203,4.161273956,0.566197336,3.444972515
1,0.591048241,3.262490749,0.618614197,3.179579973
2,0.633783638,2.970450401,0.645822227,2.996363401
3,0.657048404,2.748446941,0.661829293,2.871982574
4,0.67401135,2.564351559,0.671820045,2.775985479
5,0.688371062,2.405690908,0.679667413,2.705288649
6,0.701360524,2.266203403,0.686354399,2.656227589
7,0.713064313,2.142213345,0.688891351,2.620399475
8,0.72311002,2.031512737,0.689591646,2.591480255
9,0.732087195,1.930924177,0.696254611,2.566790342
10,0.740168154,1.840507269,0.697302282,2.553550243
11,0.747846246,1.757082224,0.69891721,2.54622364
12,0.755522013,1.680382252,0.695591271,2.544065714
13,0.763464391,1.609396815,0.701043963,2.534370661
14,0.772387505,1.542528987,0.694950104,2.546480656
15,0.780947983,1.480005026,0.700744629,2.537067413
16,0.788828433,1.421988726,0.697993338,2.540097237
17,0.79595077,1.367391467,0.696635246,2.546975374
18,0.801976323,1.316832542,0.701213956,2.542530298
19,0.807102025,1.26981318,0.698492229,2.555099487
20,0.811753213,1.227074623,0.697845519,2.559938669
21,0.815957248,1.187789559,0.699829996,2.571155548
22,0.819596231,1.152786613,0.696332216,2.58709383
23,0.823061049,1.121255159,0.696771979,2.588737726
24,0.825903654,1.093635917,0.699914992,2.597701788
25,0.828749418,1.067921758,0.696644485,2.616217375
26,0.831570745,1.04410708,0.691208422,2.62202549
27,0.833842754,1.022905469,0.689996302,2.63439703
28,0.836289823,1.002583861,0.693793416,2.636636257
29,0.838468552,0.985315442,0.690631926,2.643857479
